,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
428,500,1e-05,11,9,0.311
429,500,1e-05,11,11,0.337
430,500,1e-05,11,13,0.345
431,500,1e-05,11,15,0.288
432,500,1e-05,13,1,0.273
433,500,1e-05,13,3,0.31
434,500,1e-05,13,5,0.391
435,500,1e-05,13,7,0.274
436,500,1e-05,13,9,0.394
437,500,1e-05,13,11,0.245
438,500,1e-05,13,13,0.123
439,500,1e-05,13,15,0.23
440,500,1e-05,15,1,0.317
441,500,1e-05,15,3,0.31
442,500,1e-05,15,5,0.225
443,500,1e-05,15,7,0.319
444,500,1e-05,15,9,0.26
445,500,1e-05,15,11,0.142
446,500,1e-05,15,13,0.369
447,500,1e-05,15,15,0.228
448,500,1e-07,1,1,0.163
449,500,1e-07,1,3,0.196
450,500,1e-07,1,5,0.23
451,500,1e-07,1,7,0.27
452,500,1e-07,1,9,0.338
453,500,1e-07,1,11,0.123
454,500,1e-07,1,13,0.22
455,500,1e-07,1,15,0.142
456,500,1e-07,3,1,0.244
457,500,1e-07,3,3,0.313
458,500,1e-07,3,5,0.071
459,500,1e-07,3,7,0.183
460,500,1e-07,3,9,0.174
461,500,1e-07,3,11,0.294
462,500,1e-07,3,13,0.169
463,500,1e-07,3,15,0.187
464,500,1e-07,5,1,0.393
465,500,1e-07,5,3,0.375
466,500,1e-07,5,5,0.258
467,500,1e-07,5,7,0.148
468,500,1e-07,5,9,0.191
469,500,1e-07,5,11,0.262
470,500,1e-07,5,13,0.206
471,500,1e-07,5,15,0.337
472,500,1e-07,7,1,0.288
473,500,1e-07,7,3,0.18
474,500,1e-07,7,5,0.143
475,500,1e-07,7,7,0.326
476,500,1e-07,7,9,0.24
477,500,1e-07,7,11,0.163
478,500,1e-07,7,13,0.363
479,500,1e-07,7,15,0.312
480,500,1e-07,9,1,0.297
481,500,1e-07,9,3,0.183
482,500,1e-07,9,5,0.141
483,500,1e-07,9,7,0.293
484,500,1e-07,9,9,0.189
485,500,1e-07,9,11,0.334
486,500,1e-07,9,13,0.187
487,500,1e-07,9,15,0.273
488,500,1e-07,11,1,0.283
489,500,1e-07,11,3,0.228
490,500,1e-07,11,5,0.141
491,500,1e-07,11,7,0.259
492,500,1e-07,11,9,0.306
493,500,1e-07,11,11,0.203
494,500,1e-07,11,13,0.214
495,500,1e-07,11,15,0.341
496,500,1e-07,13,1,0.105
497,500,1e-07,13,3,0.073
498,500,1e-07,13,5,0.323
499,500,1e-07,13,7,0.308
500,500,1e-07,13,9,0.305
501,500,1e-07,13,11,0.38
502,500,1e-07,13,13,0.23
503,500,1e-07,13,15,0.253
504,500,1e-07,15,1,0.326
505,500,1e-07,15,3,0.203
506,500,1e-07,15,5,0.227
507,500,1e-07,15,7,0.159
508,500,1e-07,15,9,0.406
509,500,1e-07,15,11,0.252
510,500,1e-07,15,13,0.108
511,500,1e-07,15,15,0.342
512,1000,0.001,1,1,0.703
513,1000,0.001,1,3,0.703
514,1000,0.001,1,5,0.703
515,1000,0.001,1,7,0.703
516,1000,0.001,1,9,0.703
517,1000,0.001,1,11,0.703
518,1000,0.001,1,13,0.703
