,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
164,100,0.0001,13,9,0.509
165,100,0.0001,13,11,0.623
166,100,0.0001,13,13,0.509
167,100,0.0001,13,15,0.433
168,100,0.0001,13,17,0.487
169,100,0.0001,13,19,0.534
170,100,0.0001,15,1,0.593
171,100,0.0001,15,3,0.429
172,100,0.0001,15,5,0.571
173,100,0.0001,15,7,0.447
174,100,0.0001,15,9,0.451
175,100,0.0001,15,11,0.487
176,100,0.0001,15,13,0.553
177,100,0.0001,15,15,0.513
178,100,0.0001,15,17,0.469
179,100,0.0001,15,19,0.611
180,100,0.0001,17,1,0.513
181,100,0.0001,17,3,0.451
182,100,0.0001,17,5,0.487
183,100,0.0001,17,7,0.411
184,100,0.0001,17,9,0.429
185,100,0.0001,17,11,0.571
186,100,0.0001,17,13,0.549
187,100,0.0001,17,15,0.509
188,100,0.0001,17,17,0.58
189,100,0.0001,17,19,0.487
190,100,0.0001,19,1,0.491
191,100,0.0001,19,3,0.469
192,100,0.0001,19,5,0.469
193,100,0.0001,19,7,0.531
194,100,0.0001,19,9,0.565
195,100,0.0001,19,11,0.469
196,100,0.0001,19,13,0.542
197,100,0.0001,19,15,0.531
198,100,0.0001,19,17,0.509
199,100,0.0001,19,19,0.491
200,100,1e-05,1,1,0.469
201,100,1e-05,1,3,0.571
202,100,1e-05,1,5,0.553
203,100,1e-05,1,7,0.531
204,100,1e-05,1,9,0.491
205,100,1e-05,1,11,0.491
206,100,1e-05,1,13,0.429
207,100,1e-05,1,15,0.509
208,100,1e-05,1,17,0.513
209,100,1e-05,1,19,0.567
210,100,1e-05,3,1,0.469
211,100,1e-05,3,3,0.466
212,100,1e-05,3,5,0.531
213,100,1e-05,3,7,0.509
214,100,1e-05,3,9,0.491
215,100,1e-05,3,11,0.553
216,100,1e-05,3,13,0.531
217,100,1e-05,3,15,0.531
218,100,1e-05,3,17,0.451
219,100,1e-05,3,19,0.549
220,100,1e-05,5,1,0.469
221,100,1e-05,5,3,0.429
222,100,1e-05,5,5,0.466
223,100,1e-05,5,7,0.407
224,100,1e-05,5,9,0.509
225,100,1e-05,5,11,0.447
226,100,1e-05,5,13,0.549
227,100,1e-05,5,15,0.509
228,100,1e-05,5,17,0.491
229,100,1e-05,5,19,0.429
230,100,1e-05,7,1,0.491
231,100,1e-05,7,3,0.487
232,100,1e-05,7,5,0.567
233,100,1e-05,7,7,0.491
234,100,1e-05,7,9,0.593
235,100,1e-05,7,11,0.451
236,100,1e-05,7,13,0.464
237,100,1e-05,7,15,0.549
238,100,1e-05,7,17,0.429
239,100,1e-05,7,19,0.389
240,100,1e-05,9,1,0.473
241,100,1e-05,9,3,0.487
242,100,1e-05,9,5,0.447
243,100,1e-05,9,7,0.553
244,100,1e-05,9,9,0.487
245,100,1e-05,9,11,0.571
246,100,1e-05,9,13,0.386
247,100,1e-05,9,15,0.531
248,100,1e-05,9,17,0.513
249,100,1e-05,9,19,0.571
250,100,1e-05,11,1,0.553
251,100,1e-05,11,3,0.487
252,100,1e-05,11,5,0.491
253,100,1e-05,11,7,0.451
254,100,1e-05,11,9,0.429
255,100,1e-05,11,11,0.534
256,100,1e-05,11,13,0.553
257,100,1e-05,11,15,0.553
258,100,1e-05,11,17,0.429
259,100,1e-05,11,19,0.451
260,100,1e-05,13,1,0.491
261,100,1e-05,13,3,0.531
262,100,1e-05,13,5,0.531
263,100,1e-05,13,7,0.509
264,100,1e-05,13,9,0.553
265,100,1e-05,13,11,0.589
266,100,1e-05,13,13,0.411
267,100,1e-05,13,15,0.549
268,100,1e-05,13,17,0.513
269,100,1e-05,13,19,0.509
270,100,1e-05,15,1,0.513
271,100,1e-05,15,3,0.491
272,100,1e-05,15,5,0.411
273,100,1e-05,15,7,0.451
274,100,1e-05,15,9,0.549
275,100,1e-05,15,11,0.553
276,100,1e-05,15,13,0.531
277,100,1e-05,15,15,0.407
278,100,1e-05,15,17,0.549
279,100,1e-05,15,19,0.589
280,100,1e-05,17,1,0.571
281,100,1e-05,17,3,0.513
282,100,1e-05,17,5,0.583
283,100,1e-05,17,7,0.509
284,100,1e-05,17,9,0.451
285,100,1e-05,17,11,0.531
286,100,1e-05,17,13,0.531
287,100,1e-05,17,15,0.491
288,100,1e-05,17,17,0.491
289,100,1e-05,17,19,0.487
290,100,1e-05,19,1,0.531
291,100,1e-05,19,3,0.513
292,100,1e-05,19,5,0.451
293,100,1e-05,19,7,0.509
294,100,1e-05,19,9,0.429
295,100,1e-05,19,11,0.407
296,100,1e-05,19,13,0.469
297,100,1e-05,19,15,0.633
298,100,1e-05,19,17,0.466
