,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
90,100,0.0001,51,61,0.498
92,100,0.0001,61,11,0.498
97,100,0.0001,61,61,0.498
100,100,1.00E-05,1,21,0.498
105,100,1.00E-05,11,1,0.498
108,100,1.00E-05,11,31,0.498
110,100,1.00E-05,11,51,0.498
128,100,1.00E-05,41,21,0.498
136,100,1.00E-05,51,31,0.498
155,100,1.00E-07,11,11,0.498
156,100,1.00E-07,11,21,0.498
165,100,1.00E-07,21,41,0.498
175,100,1.00E-07,41,1,0.498
177,100,1.00E-07,41,21,0.498
180,100,1.00E-07,41,51,0.498
182,100,1.00E-07,51,1,0.498
195,100,1.00E-07,61,61,0.498
231,500,0.001,51,1,0.498
258,500,0.0001,11,61,0.498
279,500,0.0001,41,61,0.498
301,500,1.00E-05,11,1,0.498
302,500,1.00E-05,11,11,0.498
341,500,1.00E-05,61,51,0.498
342,500,1.00E-05,61,61,0.498
360,500,1.00E-07,21,31,0.498
364,500,1.00E-07,31,1,0.498
371,500,1.00E-07,41,1,0.498
375,500,1.00E-07,41,41,0.498
380,500,1.00E-07,51,21,0.498
390,500,1.00E-07,61,51,0.498
442,1000,0.0001,1,11,0.498
449,1000,0.0001,11,11,0.498
451,1000,0.0001,11,31,0.498
464,1000,0.0001,31,21,0.498
467,1000,0.0001,31,51,0.498
493,1000,1.00E-05,1,31,0.498
506,1000,1.00E-05,21,21,0.498
523,1000,1.00E-05,41,51,0.498
527,1000,1.00E-05,51,21,0.498
540,1000,1.00E-07,1,11,0.498
558,1000,1.00E-07,21,51,0.498
581,1000,1.00E-07,61,1,0.498
49,100,0.0001,1,1,0.493
94,100,0.0001,61,31,0.493
98,100,1.00E-05,1,1,0.493
101,100,1.00E-05,1,31,0.493
127,100,1.00E-05,41,11,0.493
186,100,1.00E-07,51,41,0.493
252,500,0.0001,11,1,0.493
539,1000,1.00E-07,1,1,0.493
584,1000,1.00E-07,61,31,0.493
262,500,0.0001,21,31,0.488
538,1000,1.00E-05,61,61,0.486
39,100,0.001,51,41,0.481
50,100,0.0001,1,11,0.481
115,100,1.00E-05,21,31,0.481
192,100,1.00E-07,61,31,0.481
260,500,0.0001,21,11,0.481
282,500,0.0001,51,21,0.481
299,500,1.00E-05,1,51,0.481
303,500,1.00E-05,11,21,0.481
317,500,1.00E-05,31,21,0.481
354,500,1.00E-07,11,41,0.481
373,500,1.00E-07,41,21,0.481
502,1000,1.00E-05,11,51,0.481
505,1000,1.00E-05,21,11,0.481
528,1000,1.00E-05,51,31,0.481
559,1000,1.00E-07,21,61,0.481
576,1000,1.00E-07,51,21,0.481
11,100,0.001,11,41,0.477
15,100,0.001,21,11,0.477
45,100,0.001,61,31,0.477
46,100,0.001,61,41,0.477
53,100,0.0001,1,41,0.477
56,100,0.0001,11,1,0.477
121,100,1.00E-05,31,21,0.477
134,100,1.00E-05,51,11,0.477
138,100,1.00E-05,51,51,0.477
142,100,1.00E-05,61,21,0.477
148,100,1.00E-07,1,11,0.477
157,100,1.00E-07,11,31,0.477
161,100,1.00E-07,21,1,0.477
166,100,1.00E-07,21,51,0.477
167,100,1.00E-07,21,61,0.477
193,100,1.00E-07,61,41,0.477
247,500,0.0001,1,21,0.477
253,500,0.0001,11,11,0.477
291,500,0.0001,61,41,0.477
293,500,0.0001,61,61,0.477
304,500,1.00E-05,11,31,0.477
313,500,1.00E-05,21,51,0.477
315,500,1.00E-05,31,1,0.477
333,500,1.00E-05,51,41,0.477
336,500,1.00E-05,61,1,0.477
340,500,1.00E-05,61,41,0.477
343,500,1.00E-07,1,1,0.477
347,500,1.00E-07,1,41,0.477
358,500,1.00E-07,21,11,0.477
369,500,1.00E-07,31,51,0.477
484,1000,0.0001,61,11,0.477
490,1000,1.00E-05,1,1,0.477
491,1000,1.00E-05,1,11,0.477
508,1000,1.00E-05,21,41,0.477
515,1000,1.00E-05,31,41,0.477
570,1000,1.00E-07,41,31,0.477
579,1000,1.00E-07,51,51,0.477
580,1000,1.00E-07,51,61,0.477
159,100,1.00E-07,11,51,0.474
67,100,0.0001,21,41,0.472
75,100,0.0001,31,51,0.472
116,100,1.00E-05,21,41,0.472
163,100,1.00E-07,21,21,0.472
270,500,0.0001,31,41,0.472
298,500,1.00E-05,1,41,0.472
366,500,1.00E-07,31,21,0.472
367,500,1.00E-07,31,31,0.472
376,500,1.00E-07,41,51,0.472
497,1000,1.00E-05,11,1,0.472
507,1000,1.00E-05,21,31,0.472
531,1000,1.00E-05,51,61,0.472
534,1000,1.00E-05,61,21,0.472
545,1000,1.00E-07,1,61,0.472
551,1000,1.00E-07,11,51,0.472
556,1000,1.00E-07,21,31,0.472
560,1000,1.00E-07,31,1,0.472
564,1000,1.00E-07,31,41,0.472
573,1000,1.00E-07,41,61,0.472
150,100,1.00E-07,1,31,0.467
469,1000,0.0001,41,1,0.467
93,100,0.0001,61,21,0.46
52,100,0.0001,1,31,0.456
58,100,0.0001,11,21,0.456
59,100,0.0001,11,31,0.456
144,100,1.00E-05,61,41,0.456
146,100,1.00E-05,61,61,0.456
189,100,1.00E-07,61,1,0.456
314,500,1.00E-05,21,61,0.456
322,500,1.00E-05,41,1,0.456
330,500,1.00E-05,51,11,0.456
332,500,1.00E-05,51,31,0.456
368,500,1.00E-07,31,41,0.456
378,500,1.00E-07,51,1,0.456
499,1000,1.00E-05,11,21,0.456
513,1000,1.00E-05,31,21,0.456
537,1000,1.00E-05,61,51,0.456
554,1000,1.00E-07,21,11,0.456
563,1000,1.00E-07,31,31,0.456
0,100,0.001,1,1,0.451
60,100,0.0001,11,41,0.451
106,100,1.00E-05,11,11,0.451
169,100,1.00E-07,31,11,0.451
184,100,1.00E-07,51,21,0.451
382,500,1.00E-07,51,41,0.451
485,1000,0.0001,61,21,0.451
509,1000,1.00E-05,21,51,0.451
541,1000,1.00E-07,1,21,0.451
548,1000,1.00E-07,11,21,0.451
583,1000,1.00E-07,61,21,0.451
51,100,0.0001,1,21,0.447
190,100,1.00E-07,61,11,0.447
287,500,0.0001,61,1,0.447
362,500,1.00E-07,21,51,0.447
114,100,1.00E-05,21,21,0.433
183,100,1.00E-07,51,11,0.43
259,500,0.0001,21,1,0.43
316,500,1.00E-05,31,11,0.43
524,1000,1.00E-05,41,61,0.43
320,500,1.00E-05,31,51,0.426
335,500,1.00E-05,51,61,0.426
574,1000,1.00E-07,51,1,0.426
139,100,1.00E-05,51,61,0.409
297,500,1.00E-05,1,31,0.409
318,500,1.00E-05,31,31,0.409
96,100,0.0001,61,51,0.405
126,100,1.00E-05,41,1,0.405
